IP_Family,BOOK title,BOOK ISBN,Rank,Long Desc.
9781565924628.IP,The Perl CD Bookshelf,9781565924628,48,"Perl programmers increasingly rely on the Web, online help, and other online information sources to cure information pain. Now O'Reilly's <i>Perl CD Bookshelf</i> gives you convenient online access to  your favorite books from your CD-ROM drive.
<i>The Perl CD Bookshelf</i> contains a powerhouse of O'Reilly Animal Guides. Included are complete, unabridged versions of <i>Perl in a Nutshell</i>; <i>Programming Perl, 2nd Edition</i>; <i>Perl Cookbook</i>; 
<i>Advanced Perl Programming</i>; <i>Learning Perl</i>; and <i>Learning Perl  on Win32 Systems</i>. As a bonus, the hard-copy version of <i>Perl in a  Nutshell</i> is also included.
Never has it been easier to learn, or look up, what you need to know online. Formatted in HTML, <i>The Perl CD Bookshelf</i> can be accessed with any Web browser. The books are fully searchable and cross-referenced. In addition to individual indexes for each book, a master index for the entire library is provided."
9780596003821.IP,"HTML & XHTML: The Definitive Guide, 5E",9780596003821,49,"HTML and its XML-based descendant, XHTML, are the fundamental languages for working on the web, and the new edition of our popular HTML guide offers web developers a better way to become fluent in these languages. <i>HTML & XHTML: The Definitive Guide</i>, 5th Edition is the most comprehensive, up-to-date book available on HTML and XHTML.  It covers Netscape Navigator 6, Internet Explorer 6, HTML 4.01, XHTML 1.0, CSS2, and all of the features supported by the popular web browsers.  
<p>
Learning HTML and XHTML is like learning any new language. Most students first immerse themselves in examples. Studying others is a natural way to learn; however, it's as easy to learn bad habits through imitation as it is to acquire good ones. The better way to become HTML-fluent is through a comprehensive reference that covers the language syntax, semantics, and variations in detail and demonstrates the difference between good and bad usage.
</p><p>
In <i>HTML & XHTML: The Definitive Guide</i>, the authors cover every element of HTML/XHTML in detail, explaining how each element works and how it interacts with other elements. Tips about HTML/XHTML style help you write documents ranging from simple online documentation to complex presentations. With hundreds of examples, the book gives you models for writing your own effective web pages and for mastering advanced features like style sheets and frames.
</p><p>
<i>HTML & XHTML: The Definitive Guide</i>, 5th Edition, shows how to: 
<ul>
<li>Use style sheets to control a document's appearance</li>
<li>Work with programmatically generated HTML</li>
<li>Create tables, from simple to complex</li>
<li>Use frames to coordinate sets of documents</li>
<li>Design and build interactive forms and dynamic documents</li>
<li>Insert images, sound files, video, Java applets, and JavaScript programs</li>
<li>Create documents that look good on a variety of browsers</li>
<li>Make the transition to XHTML</li>
</ul>
The book comes with a handy quick-reference card listing HTML/XHTML tags.</p>"
9780596007737.IP,"Java in a Nutshell, 5E",9780596007737,50,"<p>With more than 700,000 copies sold to date, <i>Java in
a Nutshell</i>
from O'Reilly is clearly the favorite resource amongst the legion of
developers and programmers using Java technology. And now, with the
release of the 5.0 version of Java, O'Reilly has given the book that
defined the ""in a Nutshell"" category another impressive tune-up.
</p>
<p>In this latest revision, readers will find <i>Java in a
Nutshell</i>,
5th Edition, does more than just cover the extensive changes implicit in
5.0, the newest version of Java. It's undergone a complete makeover--in
scope, size, and type of coverage--in order to more closely meet the
needs of the modern Java programmer. </p>
<p>To wit, <i>Java in a Nutshell</i>, 5th Edition
now places less emphasis on coming to
Java from C and C++, and adds more discussion on tools and frameworks.
It also offers new code examples to illustrate the working of APIs,
and, of course, extensive coverage of Java 5.0. But faithful readers
take comfort: it still hasn't lost any of its core elements that made
it such a classic to begin with. </p>
<p>This handy reference gets right to the
heart of the program with an accelerated introduction to the Java
programming language and its key APIs--ideal for developers wishing to
start writing code right away. And, as was the case in previous
editions, Java in a Nutshell, 5th Edition is once again chock-full of
poignant tips, techniques, examples, and practical advice. For as long
as Java has existed, <i>Java in a Nutshell</i> has helped
developers maximize the capabilities of the program's newest versions.
And this latest edition is no different.</p>"
9780596007867.IP,The Art of Project Management,9780596007867,51,0
9780596000400.IP,"Java Servlet Programming, 2E",9780596000400,52,"Servlets are an exciting and important technology that ties Java to the Web, allowing programmers to write Java programs that create dynamic web content.
<i>Java Servlet Programming</i> covers everything Java developers need to know to write effective servlets. It explains the servlet lifecycle, showing how to use servlets to maintain state information effortlessly. It also describes how to serve dynamic web content, including both HTML pages and multimedia data, and explores more advanced topics like integrated session tracking, efficient database connectivity using JDBC, applet-servlet communicaton, interservlet communication, and internationalization. Readers can use the book's numerous real-world examples as the basis for their own servlets.
The second edition has been completely updated to cover the new features of Version 2.2 of the Java Servlet API. It introduces chapters on servlet security and advanced communication, and also introduces several popular tools for easier integration of servlet technology with dynamic web pages. These tools include JavaServer Pages (JSP), Tea, XMLC, and the Element Construction Set.
In addition to complete coverage of 2.2 specification, <i>Java Servlet programming,</i> 2nd Edition, also contains coverage of the new 2.3 final draft specification."
9780596002602.IP,Windows XP Home Edition:  The Missing Manual,9780596002602,53,"Windows XP is the latest, most reliable, and best-looking version of the world's most widely used operating system. The new Windows combines the same stress-tested, extremely stable engine that drives Windows 2000-Microsoft's corporate operating system-with the far superior compatibility of Windows Me.
Windows XP offers dozens of important new features. In addition to the vastly more elegant user interface, it offers drag-and-drop CD burning, powerful built-in features for viewing and managing digital photos and music, and a 
Remote Assistance feature that lets invited PC gurus or help-desk technicians see and even manipulate what's on your screen over the Internet. 
But one major failing of Windows remains unaddressed in the XP edition: It comes without a single page of printed instructions. 
In <i>Windows XP Home Edition: The Missing Manual</i>,  New York Times technology columnist (and Missing Manual series creator)  David Pogue provides the friendly, authoritative book that should have been in the box. It's the ideal users' guide for the world's most popular operating system.
The book begins at the beginning: with a tour of the Desktop, the new, two-column Start menu, and instructions for customizing the Taskbar and toolbars. A special focus: Organizing files, folders, and windows for maximum 
efficiency and minimum clutter.
More advanced chapters explore each control panel and built-in application; walk through every conceivable configuration (setting up a PC for Internet use, peripheral equipment, laptop life, and so on); and setting up a small network, including how to share a single Internet connection among several PCs. Finally, special chapters are dedicated to standard rituals of Windows life: troubleshooting, installation, and upgrading.
<i> Windows XP Home Edition: The Missing Manual </i> is a one-stop reference for the Windows user. In keeping with the high standards of the Missing Manual line, the book features superb writing, special features for both absolute novices and power users, and complete coverage. If Microsoft could wave its magic software wand and wish for the perfect guide to its flagship product, <i> Windows XP Home Edition: The Missing Manual </i> would appear like magic.
"
9780596005405.IP,Head First Servlets and JSP,9780596005405,54,"Imagine a world without eBay...unthinkable! How would you get that Farrah Fawcett poster, retired Beanie Baby, or first-edition pet rock? Handling over a gazillion (OK, we exaggerate--it's actually only 1 billion) page views each day, server-side Java makes eBay work.<br />
<br />
Isn't it time you learned the latest (J2EE 1.4) versions of Servlets & JSPs? This book will get you way up to speed on the technology you'll know it so well, in fact, that you can pass the Sun Certified Web Component Developer (SCWCD) 1.4 exam.  If that's what you want to do, that is. Maybe you don't care about the exam, but need to use Servlets & JSPs in your next project. You're working on a deadline. You're over the legal limit for caffeine. You can't waste your time with a book that makes sense only AFTER you're an expert (or worse one that puts you to sleep).<br />
<br />
No problem. <i>Head First Servlets and JSP's</i> brain-friendly approach drives the knowledge straight into your head (without sharp instruments). You'll interact with servlets and JSPs in ways that help you learn quickly and deeply. It may not be <i>The Da Vinci Code</i>, but quickly see why so many reviewers call it ""a page turner"". Most importantly, this book will help you use what you learn. It won't get you through the exam only to have you forget everything the next day.<br />
<br />
Learn to write servlets and JSPs, what makes the Container tick (and what ticks it off), how to use the new JSP Expression Language (EL), what you should NOT write in a JSP, how to write deployment descriptors, secure applications, and even use some server-side design patterns. Can't talk about Struts at a cocktail party? That'll change. You won't just pass the exam, you will truly understand this stuff, and you'll be able to put it to work right away.<br />
<br />
This new exam is tough--much tougher than the previous version of the SCWCD. The authors of <i>Head First Servlets and JSP</i> know: they created it. (Not that it EVER occurred to them that if they made the exam really hard you'd have to buy a study guide to pass it.) The least they could do is give you a stimulating, fun way to pass the thing. If you're one of the thousands who used <i>Head First EJB</i> to pass the SCWCD exam, you know what to expect!"
9781565924192.IP,"CGI Programming with Perl, 2E",9781565924192,55,"Programming on the Web today can involve any of several technologies, but the Common Gateway Interface (CGI) has held its ground as the most mature method--and one of the most powerful ones--of providing dynamic web content. CGI is a generic interface for calling external programs to crunch numbers, query databases, generate customized graphics, or perform any other server-side task. There was a time when CGI was the only game in town for server-side programming; today, although we have ASP, PHP, Java servlets, and ColdFusion (among others), CGI continues to be the most ubiquitous server-side technology on the Web.
CGI programs can be written in any programming language, but Perl is by far the most popular language for CGI. Initially developed over a decade ago for text processing, Perl has evolved into a powerful object-oriented language, while retaining its simplicity of use. CGI programmers appreciate Perl's text manipulation features and its CGI.pm module, which gives a well-integrated object-oriented  interface to practically all CGI-related tasks. While other  languages might be more elegant or more efficient, Perl is still  considered the primary language for CGI.
<i>CGI Programming with Perl,</i> Second Edition, offers a comprehensive  explanation of using CGI to serve dynamic web content. Based on the best-selling <I>CGI Programming on the World Wide Web,</I> this edition has been completely rewritten to demonstrate current techniques available with the CGI.pm module and the latest versions of Perl. The book starts at the beginning,  by explaining how CGI works, and then moves swiftly into the  subtle details of developing CGI programs.
Topics include:
<ul><li>Incorporating JavaScript for form validation</li>
<li>Controlling browser caching</li>
<li>Making CGI scripts secure in Perl</li>
<li>Working with databases</li>
<li>Creating simple search engines</li>
<li>Maintaining state between multiple sessions</li>
<li>Generating graphics dynamically</li>
<li>Improving performance of your CGI scripts</li></ul>"
9780596158071.IP,"Learning Python, 4E",9780596158064,56,"Google and YouTube use Python because it's highly adaptable, easy to maintain, and allows for rapid development. If you want to write high-quality, efficient code that's easily integrated with other languages and tools, this hands-on book will help you be productive with Python quickly -- whether you're new to programming or just new to Python. It's an easy-to-follow self-paced tutorial, based on author and Python expert Mark Lutz's popular training course. <br />
<br />
Each chapter contains a stand-alone lesson on a key component of the language, and includes a unique <b>Test Your Knowledge</b> section with practical exercises and quizzes, so you can practice new skills and test your understanding as you go. You'll find lots of annotated examples and illustrations to help you get started with Python 3.0. <br />
<br />
<ul><li>Learn about Python's major built-in object types, such as numbers, lists, and dictionaries 
<li>Create and process objects using Python statements, and learn Python's general syntax model
<li>Structure and reuse code using functions, Python's basic procedural tool
<li>Learn about Python modules: packages of statements, functions, and other tools, organized into larger components
<li>Discover Python's object-oriented programming tool for structuring code 
<li>Learn about the exception-handling model, and development tools for writing larger programs
<li>Explore advanced Python tools including decorators, descriptors, metaclasses, and Unicode processing</ul>"
9781565925854.IP,"Linux in a Nutshell, 2E",9781565925854,57,"<i>Linux in a Nutshell</i> covers the core commands available on common Linux distributions. This isn't a scaled-down quick reference of common  commands, but a complete reference containing all user, programming,  administration, and networking commands.
Contents include:
<ul><li>Commands with complete lists of options</li>
<li>Shell syntax for the <i>bash</i>,and <i>tcsh</i> shells</li>
<li>Pattern matching</li>
<li><i>emacs</i>, <i>vi</i>, and <i>ex</i> editing commands</li>
<li><i>sed</i> and <i>gawk</i> commands</li>
<li>Perl quick-ref</li>
<li>LILO and Loadlin options</li>
<li>Software development commands</li>
</ul>
This book also documents a wide range of GNU tools for UNIX users who have GNU versions of standard UNIX tools. You'll find all the essential commands you need to run your system, as well as all the commands that historically have been included on UNIX systems. 
New material in the second edition includes the popular LILO and Loadlin  programs used for dual-booting, a Perl quick-reference, and RCS/CVS source control commands.   
<i>Linux in a Nutshell</i> is a must for any Linux user; it weighs less  than a stack of manual pages, but gives you everything you need for  common, day-to-day use."
9780596003432.IP,"Essential System Administration, 3E",9780596003432,58,"<i>Essential System Administration</i>,3rd Edition is the definitive guide for Unix system administration, covering all the fundamental and essential tasks required to run such divergent Unix systems as AIX, FreeBSD, HP-UX, Linux, Solaris, Tru64 and more. <i>Essential System Administration </i>provides a clear, concise, practical guide to the real-world issues that anyone responsible for a Unix system faces daily.
The new edition of this indispensable reference has been fully updated for all the latest operating systems. Even more importantly, it has been extensively revised and expanded to consider the current system administrative topics that administrators need most. <i>Essential System Administration</i>,3rd Edition covers: DHCP, USB devices, the latest automation tools, SNMP and network management, LDAP, PAM, and recent security tools and techniques. 
<i>Essential System Administration</i> is comprehensive. But what has made this book the guide system administrators turn to over and over again is not just the sheer volume of valuable information it provides, but the clear, useful way the information is presented.  It discusses the underlying higher-level concepts, but it also provides the details of the procedures needed to carry them out.  It is not organized around the features of the Unix operating system, but around the various facets of a system administrator's job.  It describes all the usual administrative tools that Unix provides, but it also shows how to use them intelligently and efficiently.
Whether you use a standalone Unix system, routinely provide administrative support for a larger shared system, or just want an understanding of basic administrative functions, <i>Essential System Administration</i> is for you. This comprehensive and invaluable book combines the author's years of practical experience with technical expertise to help you manage Unix systems as productively and painlessly as possible. 
"
9780596003166.IP,"Dynamic HTML: The Definitive Reference, 2E",9780596003166,59,"If you're a web developer today, you need to keep track of an enormous amount of information. In particular, you need to know the details about a variety of web specifications and their implementation in the latest versions of the popular browsers.  Rather than try to remember all of these details or juggle dozens of reference books covering everything from CSS to JavaScript, you can have all the information at your fingertips with the newly revised <i>Dynamic HTML: The Definitive Reference</i>.  
A favorite of web content developers since its first release, this book is an indispensable compendium for web development.  <i>Dynamic HTML: The Definitive Reference</i>, 2nd Edition, contains everything you'll need in order to create functional cross-platform web applications. The new edition has been updated to cover the latest specifications, including HTML 4.01, CSS Level 2, DOM Level 2, and JavaScript 1.5, as well as the latest browsers, Internet Explorer 6 (Windows), Internet Explorer 5.1 (Mac), Netscape Navigator 6 and 7, and Mozilla 1.0. You'll learn how these standards and technologies relate to one another and how the creation of Dynamic HTML content relies on these four technologies. The book includes:
<ul>
<li>A complete reference for all of the HTML tags, CSS style attributes, document object model attributes, methods, and event handlers, and core JavaScript objects supported by the various standards and the latest versions of Netscape and Internet Explorer.</li>
<li>Handy cross-referenced indexes that make it easy to find interrelated HTML tags, style attributes, and document object model methods, attributes, and event handlers.</li>
<li>An advanced introduction to creating dynamic web content that addresses the cross-platform compromises inherent in web page design today and encourages developers to adopt the W3C standards.</li>
</ul>
If you have experience with basic web page creation, but are new to the world of dynamic content, <i>Dynamic HTML: The Definitive Reference</i> will jump-start your development efforts. If you're an experienced Web programmer, you'll find the browser-compatibility information invaluable.  This book is the only DHTML reference a web developer needs.
"
9780596514129.IP,"Switching to the Mac: The Missing Manual, Leopard Edition",9780596514129,60,"Is Windows giving you pause? Ready to make the leap to the Mac instead? There has never been a better time to switch from Windows to Mac, and this incomparable guide will help you make a smooth transition. <em>New York Times</em> columnist and Missing Manuals creator David Pogue gets you past three challenges: transferring your stuff, assembling Mac programs so you can do what you did with Windows, and learning your way around Mac OS X.<br />
<br />
Why is this such a good time to switch? Upgrading from one version of Windows to another used to be simple. But now there's Windows Vista, a veritable resource hog that forces you to relearn everything. Learning a Mac is not a piece of cake, but once you do, the rewards are oh-so-much better. No viruses, worms or spyware. No questionable firewalls, inefficient permissions, or other strange features. Just a beautiful machine with a thoroughly reliable system. And if you're still using Windows XP, we've got you covered, too.<br />
<br />
If you're ready to take on Mac OS X Leopard, the latest edition of this bestselling guide tells you everything you need to know:
<ul>
<li><b>Transferring your stuff</b> -- Moving photos, MP3s, and Microsoft Office documents is the easy part. This book gets you through the tricky things: extracting your email, address book, calendar, Web bookmarks, buddy list, desktop pictures, and MP3 files.</li><br />
<br />
<li><b>Re-creating your software suite</b> -- Big-name programs (Word, Photoshop, Firefox, Dreamweaver, and so on) are available in both Mac and Windows versions, but hundreds of other programs are available only for Windows. This guide identifies the Mac equivalents and explains how to move your data to them.</li><br />
<br />
<li><b>Learning Leopard</b> -- Once you've moved into the Mac, a final task awaits: Learning your way around. Fortunately, you're in good hands with the author of <em>Mac OS X: The Missing Manual</em>, the #1 bestselling guide to the Macintosh.</li>
</ul>
Moving from Windows to a Mac successfully and painlessly is the one thing Apple does not deliver. <em>Switching to the Mac: The Missing Manual, Leopard Edition</em> is your ticket to a new computing experience."
9781565924833.IP,Java Enterprise in a Nutshell,9781565924833,61,"<i>Java Enterprise in a Nutshell</i> is an indispensable quick reference for Java programmers who are writing distributed enterprise applications.  The book provides fast-paced tutorials on the following Java Enterprise APIs:
<ul><li>JDBC, a vendor-independent API for accessing relational database systems</li>
<li>RMI, a Java-only approach to distributed computing that relies on remote method invocation</li>
<li>Java IDL, a CORBA-based, language-independent approach to distributed computing</li>
<li>Java servlets, a mechanism for extending a web server that allows Java code to perform tasks traditionally handled by CGI scripts</li>
<li>JNDI, a generic Java API for working with networked naming and directory services
<li>Enterprise JavaBeans, a component model that separates high-level business logic from low-level housekeeping chores like security and transaction management</li>
</ul>
These APIs are the building blocks of the Java 2 Platform, Enterprise  Edition (J2EE), Sun's recently announced new platform for enterprise computing. J2EE is the standard Java 2 platform with a number of extensions for enterprise development.
<i>Java Enterprise in a Nutshell</i> also contains O'Reilly's classic-style, quick-reference material for all of the classes in the various packages that comprise the Enterprise APIs.  This material includes the core Enterprise APIs that are part of Java 1.2, as well as numerous standard extensions.
This book is a companion to both <i>Java in a Nutshell,</i> 3rd Edition, which covers the key non-graphical, non-enterprise APIs in Java 1.2, and <i>Java Foundation Classes in a Nutshell,</i> which describes the graphics- and GUI-related classes of Java 1.2."
9781565926226.IP,Cascading Style Sheets: The Definitive Guide,9781565926226,62,"Cascading Style Sheets (CSS) is poised to make its mark on the  Web. With good implementations in Internet Explorer 5.0 and Opera  3.6, and 100% support expected in Netscape's ""Mozilla"" browser,  signs are that CSS is rapidly becoming a useful, reliable, and  powerful tool for web authors.
CSS is the W3C-approved method for enriching the visual  presentation of web pages. <i>Cascading Style Sheets: The Definitive  Guide</i> offers a complete, detailed review of CSS1 and CSS  positioning, as well as an overview of CSS2. Each property is  explored in detail with a discussion of how each interacts with  other properties. There is also information on how to avoid common  mistakes in interpretation.
This book is the first major title to cover CSS in a way that both acknowledges and describes current browser support, instead of simply describing the way things work in theory. It offers both web authors and scripters a comprehensive guide to using CSS effectively.
<i>Cascading Style Sheets: The Definitive Guide</i> targets veteran web authors who have already invested thousands of hours in learning HTML and writing web pages and are wondering why they need to learn a brand new language of style. This book supplies those dubious but curious web authors with the information they need to easily implement CSS for their web site.
This book also addresses an audience of novice web authors who are already straining to learn all of the tags and attributes of HTML and can benefit now from implementing CSS correctly instead of repeating the mistakes of the past.
The author has extensive experience writing about pitfalls and interesting tricks in CSS. He is a member of the CSS&FP Working Group, coordinates the W3C's <a HREF=""http://www.w3.org/Style/CSS/Test/"" target=""new""><b>CSS1 Test Suite</b></a>, remains active on CSS newsgroups, and edits Web Review's <a HREF=""http://style.webreview.com/"" target=""new""><b>Style Sheets Reference Guide</b></a>. He has built a widespread reputation as a CSS expert, particularly with regard to his understanding of the intricacies of browser support for CSS. He brings his knowledge and expertise to this book in the form of hints, workarounds, and many other tips for web authors."
9780596001964.IP,"Web Design in a Nutshell, 2E",9780596001964,63,"<i>Web Design in a Nutshell,</i> 2nd Edition contains the nitty-gritty on everything you need to know to design web pages. It's the good stuff, without the fluff, written and organized so that answers can be found quickly. This completely revised and expanded 2nd edition is chock-full of information about the wide range of front-end technologies and techniques from which web designers and authors must draw. 
<p><i>Web Design in a Nutshell,</i> 2nd Edition is an excellent reference for HTML 4.01 tags (including tables, frames, forms, color, and cascading style sheets) with special attention given to browser support, platform idiosyncrasies, and standards. You'll also find lots of updated information on using graphics, multimedia, audio and video, and advanced technologies such Dynamic HTML, Javascript, and XML, as well as new chapters on XHTML, WML, and SMIL. This book is an indispensable tool for web designers and authors of all levels.</p>
<p><i>Web Design in a Nutshell,</i> 2nd Edition includes:</p>
    <ul>
      <li>Discussions of the web environment including monitors and browsers, printing from the Web, accessibility, and internationalization</li>
      <li>A complete reference to HTML and Server Side Includes, including up-to-date browser support (Netscape 6, IE 6.0, and Opera 5) for every tag and attribute</li>
      <li>Updated chapters on creating GIF, animated GIF, JPEG, and PNG graphics, including designing with the Web Palette</li>
      <li>Information on multimedia and interactivity, including audio, video, Flash 5 and Shockwave, and a new chapter on SMIL</li>
      <li>A revised tutorial and reference on Cascading Style Sheets</li>
      <li>Appendixes detailing HTML tags, attributes, deprecated tags, proprietary tags, CSS compatibility and support, and character entities</li>
    </ul>
    <br />
     <br />"
9781565923225.IP,"TCP/IP Network Administration, 2E",9781565923225,64,"<i>TCP/IP Network Administration, 2nd Edition</i> is a complete guide to setting  up and running a TCP/IP network for administrators of networks of  systems or users of home systems that access the Internet. It starts  with the fundamentals: what the protocols do and how they work, how  addresses and routing are used to move data through the network, and how to set up your network connection.
Beyond basic setup, this new second edition discusses advanced routing  protocols (RIPv2, OSPF, and BGP) and the <i>gated</i> software package that  implements them.  It also provides a tutorial on how to configure important  network services, including PPP, SLIP, sendmail, Domain Name Service (DNS), BOOTP and DHCP configuration servers, and some simple setups for NIS and NFS.  There are also chapters on troubleshooting and security. In addition, this  book is a command and syntax reference for several important packages,  including <i>pppd</i>, <i>dip</i>, <i>gated</i>, <i>named</i>, <i>dhcpd</i>, and 
<i>sendmail</i>.
Contents include:
<ul><li>Overview of TCP/IP
</li><li>Delivering the Data
</li><li>Network Services
</li><li>Getting Started
</li><li>Basic Configuration
</li><li>Configuring the Interface
</li><li>Configuring Routing
</li><li>Configuring DNS Name Service
</li><li>Configuring Network Servers
</li><li>sendmail
</li><li>Troubleshooting TCP/IP
</li><li>Network Security
</li><li>Internet Information Resources
</li></ul>
Appendixes include: <i>dip</i>, <i>pppd</i> and <i>chat</i> reference; a 
<i>gated</i> reference; a <i>named</i> reference; a <i>dhcpd</i> reference;  and a <i>sendmail</i> reference
Covers Linux, BSD, and System V TCP/IP implementations."
9780596100964.IP,Adobe Photoshop CS2 One-on-One,9780596100964,65,"If you work with Adobe Photoshop, you've already tasted how powerful a graphics tool it can be.  Universally recognized as the standard for image editing and production, Photoshop is used by close to 20 million people worldwide.  But how many can say they've fully tapped its vast functionality? 
<p>
Whether you're a first-timer looking to learn Photoshop, or a seasoned Photoshopper interested in the cool new features of CS2, Deke McClelland's <i>Adobe Photoshop CS2 One on One</i> will have you completing rewarding projects in no time at all.  A Photoshop expert, sought-after computer graphics and design lecturer and author of over 70 books, Deke brings his passion and easy, conversational style to the new edition of his bestselling Photoshop tutorial, updated for CS2.</p>
<p>
A straightforward, step-by-step guide to the features and functions of Photoshop-with plenty of real-world projects and insider tips applied along the way-<i>Adobe Photoshop CS2 One on One</i> also covers the new features of CS2 in depth, including Adobe Bridge, the new file browser that makes it possible to process multiple images at once.  Learn how to use new workflow and file handling features, how to batch process digital camera raw files, search metadata, quickly review images in Slideshow mode, and much more. </p>
<p>
If that sounds like Greek to you, don't worry.  Deke uses highly effective One-on-One teaching methods and creates a classroom environment that combines written instruction with more than two hours of video training (provided on DVD).  As host of the ""Best of Photoshop"" disk that ships with every Photoshop order, he's uniquely qualified to present the material in this dynamic, interactive format.  Whatever your skill level, <i>Adobe Photoshop CS2 One on One</i> will soon have you speaking fluent Photoshop CS2.</p>"
9780596002817.IP,"Learning Python, 2E",9780596002817,66,"Portable, powerful, and a breeze to use, Python is the popular open source object-oriented programming language used for both standalone programs and scripting applications. Python is considered easy to learn, but there's no quicker way to mastery of the language than learning from an expert teacher. This edition of <i>Learning Python</i> puts you in the hands of two expert teachers, Mark Lutz and David Ascher, whose friendly, well-structured prose has guided many a programmer to proficiency with the language. <br />
<br />
<i>Learning Python</i>, Second Edition, offers programmers a comprehensive learning tool for Python and object-oriented programming. Thoroughly updated for the numerous language and class presentation changes that have taken place since the release of the first edition in 1999, this guide introduces the basic elements of the latest release of Python 2.3 and covers new features, such as list comprehensions, nested scopes, and iterators/generators. <br />
<br />
Beyond language features, this edition of <i>Learning Python</i> also includes new context for less-experienced programmers, including fresh overviews of object-oriented programming and dynamic typing, new discussions of program launch and configuration options, new coverage of documentation sources, and more. There are also new use cases throughout to make the application of language features more concrete. <br />
<br />
The first part of <i>Learning Python</i> gives programmers all the information they'll need to understand and construct programs in the Python language, including types, operators, statements, classes, functions, modules and exceptions. The authors then present more advanced material, showing how Python performs common tasks by offering real applications and the libraries available for those applications. Each chapter ends with a series of exercises that will test your Python skills and measure your understanding.<br />
<br />
<i>Learning Python</i>, Second Edition is a self-paced book that allows readers to focus on the core Python language in depth. As you work through the book, you'll gain a deep and complete understanding of the Python language that will help you to understand the larger application-level examples that you'll encounter on your own. If you're interested in learning Python--and want to do so quickly and efficiently--then <i>Learning Python</i>, Second Edition is your best choice."
9780596806408.IP,Windows 7: The Missing Manual,9780596806392,67,"In early reviews, geeks raved about Windows 7. But if you're an ordinary mortal, learning what this new system is all about will be challenging. Fear not: David Pogue's <em>Windows 7: The Missing Manual</em> comes to the rescue. Like its predecessors, this book illuminates its subject with reader-friendly insight, plenty of wit, and hardnosed objectivity for beginners as well as veteran PC users. <br />
<br />
Windows 7 fixes many of Vista's most painful shortcomings. It's speedier, has fewer intrusive and nagging screens, and is more compatible with peripherals. Plus, Windows 7 introduces a slew of new features, including better organization tools, easier WiFi connections and home networking setup, and even touchscreen computing for those lucky enough to own the latest hardware. <br />
<br />
With this book, you'll learn how to:<p>
<ul>
<li>Navigate the desktop, including the fast and powerful search function
<li>Take advantage of Window's apps and gadgets, and tap into 40 free programs
<li>Breeze the Web with Internet Explorer 8, and learn the email, chat, and videoconferencing programs 
<li>Record TV and radio, display photos, play music, and record any of these to DVD using the Media Center
<li>Use your printer, fax, laptop, tablet PC, or smartphone with Windows 7
<li>Beef up your system and back up your files 
<li>Collaborate and share documents and other files by setting up a workgroup network</ul><p>"
9780596008031.IP,Designing Interfaces,9780596008031,68,"Designing a good interface isn't easy.  Users demand software that is well-behaved, good-looking, and easy to use.  Your clients or managers demand originality and a short time to market.  Your UI technology -- web applications, desktop software, even mobile devices -- may give you the tools you need, but little guidance on how to use them well.
<p>
UI designers over the years have refined the art of interface design, evolving many best practices and reusable ideas.  If you learn these, and understand why the best user interfaces work so well, you too can design engaging and usable interfaces with less guesswork and more confidence.
</p><p>
<i>Designing Interfaces</i> captures those best practices as design patterns -- solutions to common design problems, tailored to the situation at hand.  Each pattern contains practical advice that you can put to use immediately, plus a variety of examples illustrated in full color.  You'll get recommendations, design alternatives, and warnings
on when not to use them.
</p><p>
Each chapter's introduction describes key design concepts that are often misunderstood, such as affordances, visual hierarchy, navigational distance, and the use of color.  These give you a deeper understanding of why the patterns work, and how to apply them with more insight.
</p><p>
A book can't design an interface for you -- no foolproof design process is given here -- but <i>Designing Interfaces</i> does give you concrete ideas that you can mix and recombine as you see fit.  Experienced designers can use it as a sourcebook of ideas.  Novice designers will find a roadmap to the world of interface and interaction design, with enough guidance to start using these patterns immediately.</p>"
9780596003968.IP,"ActionScript for Flash MX: The Definitive Guide, 2E",9780596003968,69,"Updated to cover Flash MX, the newest version of Macromedia Flash, <i>ActionScript for Flash MX: The Definitive Guide</i>, Second Edition is the one book no serious Flash developer should be without.  
ActionScript is Macromedia's programming language for Flash MX, the popular authoring tool for creating rich internet applications and animations for the Web.  With Macromedia's new focus on application development, ActionScript now includes a direct drawing API, loading of external MP3 and JPG files, improved sound control, an extensive set of text formatting tools, complete support for component development using movie clip subclasses, local data storage, accessibility features, and much more.  And <i>ActionScript for Flash MX: The Definitive Guide</i> is the most complete, up-to-date reference available for the latest version of this language.
Author Colin Moock, one of the most universally respected developers in the Flash community, has added hundreds of new code examples to show new Flash MX techniques in the real world:  how to draw circles, save data to disk, convert arrays to onscreen tables, create reusable components, and preload variables, XML, and sounds.  The book's language reference alone has nearly doubled from the first edition, with more than 250 new classes, objects, methods, and properties.  You'll find exhaustive coverage of dozens of undocumented, under-documented, and mis-documented features.
Along with the new material, Colin Moock has meticulously revised the entire text to conform to Flash MX best-coding practices.  In particular, objected-oriented programming and the new event model get special attention in light of changes to Flash MX ActionScript.  From sending data between two movies to creating getter/setter properties, the new edition of this book demystifies the often-confusing new features of Flash MX, giving developers easy access to its powerful new capabilities.
<i>ActionScript for Flash MX: The Definitive Guide</i> is structured so non-programmers can learn how to use ActionScript and programmers can take their skills to new heights.  If you are in the market to really learn about the hows and whys of ActionScript, then this is the book for you.
"
